"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000284012.1",0,NA,NA,NA,NA,NA
"ENSG00000085514.16",0.0265202916086958,-0.0697790832525442,0.365063658795212,-0.184250255011182,0.853817136477877,NA
"ENSG00000287631.1",0,NA,NA,NA,NA,NA
"ENSG00000078487.18",0.151983935615363,0.0813076492115141,0.365306414350345,0.208308976673316,0.834987723012919,NA
"ENSG00000146834.14",2.53158231531285,0.524199008861913,0.509236629860923,1.07128171676439,0.284042778113734,NA
"ENSG00000241357.1",0,NA,NA,NA,NA,NA
"ENSG00000160813.7",1.68399492892414,0.313125064884576,0.550150169827143,0.622209600132028,0.533804054274349,NA
"ENSG00000240211.1",0,NA,NA,NA,NA,NA
"ENSG00000185955.5",0,NA,NA,NA,NA,NA
"ENSG00000166925.9",0.696458642797677,0.321972802837504,0.537846402295438,0.477901128606798,0.632720578077793,NA
"ENSG00000286938.1",0,NA,NA,NA,NA,NA
"ENSG00000166924.9",0,NA,NA,NA,NA,NA
"ENSG00000225807.2",0,NA,NA,NA,NA,NA
"ENSG00000242101.3",0,NA,NA,NA,NA,NA
"ENSG00000106351.13",0.570136443947056,0.00860846063894092,0.500466058221728,-0.0025108960668568,0.997996596899583,NA
"ENSG00000184414.2",0,NA,NA,NA,NA,NA
"ENSG00000205307.12",0.253678221330367,-0.0917534988997414,0.365480922295228,-0.267319164663171,0.789223432244021,NA
"ENSG00000274272.1",0,NA,NA,NA,NA,NA
"ENSG00000077454.16",0.956722311805121,0.405076176940186,0.561835225347436,0.742343336002374,0.457879341678208,NA
"ENSG00000106336.13",0.253168173950555,0.116093837809013,0.388640229778,0.28728573324007,0.773893545676895,NA
"ENSG00000224729.6",0,NA,NA,NA,NA,NA
"ENSG00000106333.13",0.0951515129423435,0.0311707364154572,0.365003123313856,0.101668322134193,0.919019947095521,NA
"ENSG00000106330.12",0.400876246403418,0.0797139715342489,0.43842670096598,0.187672393993652,0.851133472120348,NA
"ENSG00000106327.13",0,NA,NA,NA,NA,NA
"ENSG00000077080.10",0.0951515129423435,0.0311707364154572,0.365003123313856,0.101668322134193,0.919019947095521,NA
"ENSG00000172354.10",2.61316189828155,-0.385793527576866,0.509127681759604,-0.755576455436734,0.4499031767037,NA
"ENSG00000146830.11",1.71612673615949,-0.728016580160418,0.549308023032765,-1.31373221948298,0.188936334335509,NA
"ENSG00000172336.5",0.586655909695677,0.378806235371362,0.502021596911562,0.76803719213849,0.442465089266127,NA
"ENSG00000130427.3",0,NA,NA,NA,NA,NA
"ENSG00000146839.19",0,NA,NA,NA,NA,NA
"ENSG00000196411.10",4.3593826487989,0.280891097478842,0.437014698868918,0.643714713116126,0.5197604473058,0.896976129987358
"ENSG00000263672.2",0,NA,NA,NA,NA,NA
"ENSG00000146828.18",0.928543746615517,-0.045384032760397,0.560719587804379,-0.0998018252420813,0.920501658953886,NA
"ENSG00000236305.1",0.114555342070032,-0.0837842345095505,0.365131543428811,-0.267318869665904,0.789223659356412,NA
"ENSG00000087077.14",0.96600429917944,0.0255290837924461,0.557744615906194,0.0243741449011004,0.980554171577377,NA
"ENSG00000283821.1",0,NA,NA,NA,NA,NA
"ENSG00000087087.20",1.70155174238298,0.159456477029663,0.559405863135296,0.229296325631105,0.818638609135449,NA
"ENSG00000176125.7",0.1076769799345,0.0840618578623552,0.365178464225801,0.221954950214362,0.824348953114243,NA
"ENSG00000087085.16",0.894248093271839,0.367431894177945,0.555824208639293,0.622393805737365,0.533682952476574,NA
"ENSG00000239825.3",0,NA,NA,NA,NA,NA
"ENSG00000235926.1",0,NA,NA,NA,NA,NA
"ENSG00000169894.18",0.275785220449825,0.0232791856421119,0.365381864375406,0.158683514821392,0.87391822686607,NA
"ENSG00000274993.1",0.128164546150348,0.0826885635324593,0.365243879481259,0.241997260870822,0.808782285671001,NA
"ENSG00000205277.10",0.0538384899672498,0.0311707364154572,0.365003123313856,0.101668322134193,0.919019947095521,NA
"ENSG00000227053.1",0,NA,NA,NA,NA,NA
"ENSG00000169876.14",0.0743260561830977,0.029817332983404,0.365076108682288,0.0728839583212187,0.941898459395009,NA
"ENSG00000222636.1",0,NA,NA,NA,NA,NA
"ENSG00000169871.13",2.3553866054514,0.785870727673364,0.526166305428854,1.46503249074762,0.142912053492239,NA
"ENSG00000106366.9",4.14348147208079,0.602574952792897,0.455875133679048,1.35685653658471,0.174826799291843,0.702388064571523
"ENSG00000106367.15",1.58762462977233,0.100581546768898,0.554145350994235,0.213533834911125,0.830910601178475,NA
"ENSG00000264425.1",0.248849751987272,-0.0903507178024884,0.365426595477692,-0.232890575800331,0.815846376678242,NA
"ENSG00000128564.7",0.162892691850884,-0.0309283161554049,0.365293507425619,-0.096927093074521,0.922784292941141,NA
"ENSG00000167011.9",0.111328843523042,-0.0116637817443612,0.365267443104788,-0.0283883346263151,0.977352428072702,NA
"ENSG00000106384.12",0.169617103828692,0.081307647722811,0.365306414356595,0.224686799606286,0.822222934451746,NA
"ENSG00000205267.5",0,NA,NA,NA,NA,NA
"ENSG00000213394.3",0.0694975868400034,0.0311707364154572,0.365003123313856,0.101668322134194,0.919019947095521,NA
"ENSG00000106397.12",3.31468475562632,-0.0752384838440892,0.475556182725567,-0.156816236582352,0.875389676230903,0.979897701581098
"ENSG00000106400.12",2.63707768670449,0.144919696434544,0.514539358457786,0.301142189107013,0.763306071044801,NA
"ENSG00000106404.14",0.159808250748236,-0.0309283157184519,0.365293507423767,-0.0969270930745211,0.922784292941141,NA
"ENSG00000214253.9",0.802999825438921,0.351807410358319,0.555772040040316,0.594478425496382,0.55219216800295,NA
"ENSG00000207454.1",0,NA,NA,NA,NA,NA
"ENSG00000278683.1",0,NA,NA,NA,NA,NA
"ENSG00000214252.4",0,NA,NA,NA,NA,NA
"ENSG00000232301.2",0,NA,NA,NA,NA,NA
"ENSG00000232445.2",0.314153450818779,-0.0368427231875175,0.38800004613414,-0.0865092932856241,0.93106156879536,NA
"ENSG00000128581.17",0.572729095456453,0.0125791114031624,0.487327047157514,-0.00508647911551558,0.995941594344919,NA
"ENSG00000160963.14",0,NA,NA,NA,NA,NA
"ENSG00000233683.1",0,NA,NA,NA,NA,NA
"ENSG00000233123.1",0,NA,NA,NA,NA,NA
"ENSG00000106436.7",0,NA,NA,NA,NA,NA
"ENSG00000257923.12",3.73574916054134,-0.555693796229285,0.500085010288357,-1.15297658207992,0.248919996568031,0.752423304733387
"ENSG00000259294.1",0,NA,NA,NA,NA,NA
"ENSG00000272219.1",0,NA,NA,NA,NA,NA
"ENSG00000261535.1",0,NA,NA,NA,NA,NA
"ENSG00000280404.1",0,NA,NA,NA,NA,NA
"ENSG00000280004.1",0,NA,NA,NA,NA,NA
